1,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
2,198,House Robber,Medium,"Array,Dynamic Programming"
3,1636,Sort Array by Increasing Frequency,Easy,"Array,Hash Table,Sorting"
4,3178,Find the Child Who Has the Ball After K Seconds,Easy,"Math,Simulation"
5,1011,Capacity To Ship Packages Within D Days,Medium,"Array,Binary Search"
6,15,3Sum,Medium,"Array,Two Pointers,Sorting"
7,554,Brick Wall,Medium,"Array,Hash Table"
8,322,Coin Change,Medium,"Array,Dynamic Programming,Breadth-First Search"
9,120,Triangle,Medium,"Array,Dynamic Programming"
10,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
11,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
12,45,Jump Game II,Medium,"Array,Dynamic Programming,Greedy"
13,49,Group Anagrams,Medium,"Array,Hash Table,String,Sorting"
14,66,Plus One,Easy,"Array,Math"
15,76,Minimum Window Substring,Hard,"Hash Table,String,Sliding Window"
16,127,Word Ladder,Hard,"Hash Table,String,Breadth-First Search"
17,236,Lowest Common Ancestor of a Binary Tree,Medium,"Tree,Depth-First Search,Binary Tree"
18,295,Find Median from Data Stream,Hard,"Two Pointers,Design,Sorting,Heap (Priority Queue),Data Stream"
19,387,First Unique Character in a String,Easy,"Hash Table,String,Queue,Counting"
