1,1,Two Sum,Easy,"Array,Hash Table"
2,88,Merge Sorted Array,Easy,"Array,Two Pointers,Sorting"
3,273,Integer to English Words,Hard,"Math,String,Recursion"
4,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
5,49,Group Anagrams,Medium,"Array,Hash Table,String,Sorting"
6,767,Reorganize String,Medium,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting"
7,15,3Sum,Medium,"Array,Two Pointers,Sorting"
8,56,Merge Intervals,Medium,"Array,Sorting"
9,347,Top K Frequent Elements,Medium,"Array,Hash Table,Divide and Conquer,Sorting,Heap (Priority Queue),Bucket Sort,Counting,Quickselect"
10,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
11,22,Generate Parentheses,Medium,"String,Dynamic Programming,Backtracking"
12,135,Candy,Hard,"Array,Greedy"
13,200,Number of Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
14,994,Rotting Oranges,Medium,"Array,Breadth-First Search,Matrix"
15,1768,Merge Strings Alternately,Easy,"Two Pointers,String"
16,2667,Create Hello World Function,Easy,"JS,TS"
17,20,Valid Parentheses,Easy,"String,Stack"
18,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
19,210,Course Schedule II,Medium,"Depth-First Search,Breadth-First Search,Graph,Topological Sort"
20,875,Koko Eating Bananas,Medium,"Array,Binary Search"
21,1757,Recyclable and Low Fat Products,Easy,Database
22,4,Median of Two Sorted Arrays,Hard,"Array,Binary Search,Divide and Conquer"
23,9,Palindrome Number,Easy,Math
24,40,Combination Sum II,Medium,"Array,Backtracking"
25,42,Trapping Rain Water,Hard,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack"
26,54,Spiral Matrix,Medium,"Array,Matrix,Simulation"
27,110,Balanced Binary Tree,Easy,"Tree,Depth-First Search,Binary Tree"
28,128,Longest Consecutive Sequence,Medium,"Array,Hash Table,Union Find"
29,134,Gas Station,Medium,"Array,Greedy"
30,238,Product of Array Except Self,Medium,"Array,Prefix Sum"
31,279,Perfect Squares,Medium,"Math,Dynamic Programming,Breadth-First Search"
32,460,LFU Cache,Hard,"Hash Table,Linked List,Design,Doubly-Linked List"
33,560,Subarray Sum Equals K,Medium,"Array,Hash Table,Prefix Sum"
34,621,Task Scheduler,Medium,"Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting"
35,2977,Minimum Cost to Convert String II,Hard,"Array,String,Dynamic Programming,Graph,Trie,Shortest Path"
36,7,Reverse Integer,Medium,Math
37,11,Container With Most Water,Medium,"Array,Two Pointers,Greedy"
38,14,Longest Common Prefix,Easy,"String,Trie"
39,23,Merge k Sorted Lists,Hard,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort"
40,48,Rotate Image,Medium,"Array,Math,Matrix"
41,70,Climbing Stairs,Easy,"Math,Dynamic Programming,Memoization"
42,122,Best Time to Buy and Sell Stock II,Medium,"Array,Dynamic Programming,Greedy"
43,127,Word Ladder,Hard,"Hash Table,String,Breadth-First Search"
44,205,Isomorphic Strings,Easy,"Hash Table,String"
45,215,Kth Largest Element in an Array,Medium,"Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect"
46,253,Meeting Rooms II,Medium,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue),Prefix Sum"
47,283,Move Zeroes,Easy,"Array,Two Pointers"
48,503,Next Greater Element II,Medium,"Array,Stack,Monotonic Stack"
49,584,Find Customer Referee,Easy,Database
50,1004,Max Consecutive Ones III,Medium,"Array,Binary Search,Sliding Window,Prefix Sum"
51,1105,Filling Bookcase Shelves,Medium,"Array,Dynamic Programming"
52,2134,Minimum Swaps to Group All 1's Together II,Medium,"Array,Sliding Window"
