1,202,Happy Number,Easy,"Hash Table,Math,Two Pointers"
2,49,Group Anagrams,Medium,"Array,Hash Table,String,Sorting"
3,545,Boundary of Binary Tree,Medium,"Tree,Depth-First Search,Binary Tree"
4,20,Valid Parentheses,Easy,"String,Stack"
5,399,Evaluate Division,Medium,"Array,String,Depth-First Search,Breadth-First Search,Union Find,Graph,Shortest Path"
6,1010,Pairs of Songs With Total Durations Divisible by 60,Medium,"Array,Hash Table,Counting"
7,1514,Path with Maximum Probability,Medium,"Array,Graph,Heap (Priority Queue),Shortest Path"
8,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
9,1,Two Sum,Easy,"Array,Hash Table"
10,2592,Maximize Greatness of an Array,Medium,"Array,Two Pointers,Greedy,Sorting"
