1,198,House Robber,Medium,"Array,Dynamic Programming"
2,56,Merge Intervals,Medium,"Array,Sorting"
3,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
4,2047,Number of Valid Words in a Sentence,Easy,String
5,2,Add Two Numbers,Medium,"Linked List,Math,Recursion"
6,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
7,54,Spiral Matrix,Medium,"Array,Matrix,Simulation"
8,134,Gas Station,Medium,"Array,Greedy"
9,212,Word Search II,Hard,"Array,String,Backtracking,Trie,Matrix"
10,1380,Lucky Numbers in a Matrix,Easy,"Array,Matrix"
11,1784,Check if Binary String Has at Most One Segment of Ones,Easy,String
12,2016,Maximum Difference Between Increasing Elements,Easy,Array
13,2081,Sum of k-Mirror Numbers,Hard,"Math,Enumeration"
14,2067,Number of Equal Count Substrings,Medium,"String,Counting,Prefix Sum"
15,2448,Minimum Cost to Make Array Equal,Hard,"Array,Binary Search,Greedy,Sorting,Prefix Sum"
16,3047,Find the Largest Area of Square Inside Two Rectangles,Medium,"Array,Math,Geometry"
