1,2062,Count Vowel Substrings of a String,Easy,"Hash Table,String"
2,91,Decode Ways,Medium,"String,Dynamic Programming"
3,754,Reach a Number,Medium,"Math,Binary Search"
4,300,Longest Increasing Subsequence,Medium,"Array,Binary Search,Dynamic Programming"
5,673,Number of Longest Increasing Subsequence,Medium,"Array,Dynamic Programming,Binary Indexed Tree,Segment Tree"
6,25,Reverse Nodes in k-Group,Hard,"Linked List,Recursion"
7,2316,Count Unreachable Pairs of Nodes in an Undirected Graph,Medium,"Depth-First Search,Breadth-First Search,Union Find,Graph"
8,64,Minimum Path Sum,Medium,"Array,Dynamic Programming,Matrix"
9,1861,Rotating the Box,Medium,"Array,Two Pointers,Matrix"
10,1864,Minimum Number of Swaps to Make the Binary String Alternating,Medium,"String,Greedy"
