1,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
2,1611,Minimum One Bit Operations to Make Integers Zero,Hard,"Dynamic Programming,Bit Manipulation,Memoization"
3,96,Unique Binary Search Trees,Medium,"Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree"
4,56,Merge Intervals,Medium,"Array,Sorting"
5,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
6,124,Binary Tree Maximum Path Sum,Hard,"Dynamic Programming,Tree,Depth-First Search,Binary Tree"
7,1,Two Sum,Easy,"Array,Hash Table"
8,6,Zigzag Conversion,Medium,String
9,128,Longest Consecutive Sequence,Medium,"Array,Hash Table,Union Find"
10,200,Number of Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
11,253,Meeting Rooms II,Medium,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue),Prefix Sum"
12,380,Insert Delete GetRandom O(1),Medium,"Array,Hash Table,Math,Design,Randomized"
13,735,Asteroid Collision,Medium,"Array,Stack,Simulation"
14,994,Rotting Oranges,Medium,"Array,Breadth-First Search,Matrix"
15,1200,Minimum Absolute Difference,Easy,"Array,Sorting"
16,2151,Maximum Good People Based on Statements,Hard,"Array,Backtracking,Bit Manipulation,Enumeration"
17,13,Roman to Integer,Easy,"Hash Table,Math,String"
18,41,First Missing Positive,Hard,"Array,Hash Table"
19,74,Search a 2D Matrix,Medium,"Array,Binary Search,Matrix"
20,103,Binary Tree Zigzag Level Order Traversal,Medium,"Tree,Breadth-First Search,Binary Tree"
21,113,Path Sum II,Medium,"Backtracking,Tree,Depth-First Search,Binary Tree"
22,115,Distinct Subsequences,Hard,"String,Dynamic Programming"
23,138,Copy List with Random Pointer,Medium,"Hash Table,Linked List"
24,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
25,155,Min Stack,Medium,"Stack,Design"
26,239,Sliding Window Maximum,Hard,"Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue"
27,240,Search a 2D Matrix II,Medium,"Array,Binary Search,Divide and Conquer,Matrix"
28,252,Meeting Rooms,Easy,"Array,Sorting"
29,295,Find Median from Data Stream,Hard,"Two Pointers,Design,Sorting,Heap (Priority Queue),Data Stream"
30,300,Longest Increasing Subsequence,Medium,"Array,Binary Search,Dynamic Programming"
31,450,Delete Node in a BST,Medium,"Tree,Binary Search Tree,Binary Tree"
32,525,Contiguous Array,Medium,"Array,Hash Table,Prefix Sum"
33,1721,Swapping Nodes in a Linked List,Medium,"Linked List,Two Pointers"
34,716,Max Stack,Hard,"Linked List,Stack,Design,Doubly-Linked List,Ordered Set"
35,969,Pancake Sorting,Medium,"Array,Two Pointers,Greedy,Sorting"
36,1004,Max Consecutive Ones III,Medium,"Array,Binary Search,Sliding Window,Prefix Sum"
37,1010,Pairs of Songs With Total Durations Divisible by 60,Medium,"Array,Hash Table,Counting"
38,2192,All Ancestors of a Node in a Directed Acyclic Graph,Medium,"Depth-First Search,Breadth-First Search,Graph,Topological Sort"
39,1380,Lucky Numbers in a Matrix,Easy,"Array,Matrix"
40,1410,HTML Entity Parser,Medium,"Hash Table,String"
41,1537,Get the Maximum Score,Hard,"Array,Two Pointers,Dynamic Programming,Greedy"
42,1839,Longest Substring Of All Vowels in Order,Medium,"String,Sliding Window"
43,2251,Number of Flowers in Full Bloom,Hard,"Array,Hash Table,Binary Search,Sorting,Prefix Sum,Ordered Set"
44,2466,Count Ways To Build Good Strings,Medium,Dynamic Programming
45,2506,Count Pairs Of Similar Strings,Easy,"Array,Hash Table,String,Bit Manipulation"
46,2580,Count Ways to Group Overlapping Ranges,Medium,"Array,Sorting"
47,2549,Count Distinct Numbers on Board,Easy,"Array,Hash Table,Math,Simulation"
48,2561,Rearranging Fruits,Hard,"Array,Hash Table,Greedy"
49,2836,Maximize Value of Function in a Ball Passing Game,Hard,"Array,Dynamic Programming,Bit Manipulation"
50,3012,Minimize Length of Array Using Operations,Medium,"Array,Math,Greedy,Number Theory"
51,3015,Count the Number of Houses at a Certain Distance I,Medium,"Breadth-First Search,Graph,Prefix Sum"
52,3017,Count the Number of Houses at a Certain Distance II,Hard,"Graph,Prefix Sum"
