1,6,Zigzag Conversion
2,79,Word Search
3,560,Subarray Sum Equals K
4,1283,Find the Smallest Divisor Given a Threshold
5,2380,Time Needed to Rearrange a Binary String
6,49,Group Anagrams
7,146,LRU Cache
8,198,House Robber
9,200,Number of Islands
10,212,Word Search II
11,347,Top K Frequent Elements
12,1010,Pairs of Songs With Total Durations Divisible by 60
13,1229,Meeting Scheduler
14,1473,Paint House III
15,1589,Maximum Sum Obtained of Any Permutation
16,1969,Minimum Non-Zero Product of the Array Elements
17,1999,Smallest Greater Multiple Made of Two Digits
18,2056,Number of Valid Move Combinations On Chessboard
19,2183,Count Array Pairs Divisible by K
20,2554,Maximum Number of Integers to Choose From a ...
21,2586,Count the Number of Vowel Strings in Range
22,2524,Maximum Frequency Score of a Subarray
23,2559,Count Vowel Strings in Ranges
24,2557,Maximum Number of Integers to Choose From a ...
