1,200,Number of Islands
2,1,Two Sum
3,21,Merge Two Sorted Lists
4,41,First Missing Positive
5,61,Rotate List
6,206,Reverse Linked List
7,2064,Minimized Maximum of Products Distributed to Any ...
8,3187,Peaks in Array
9,17,Letter Combinations of a Phone Number
10,460,LFU Cache
11,3,Longest Substring Without Repeating Characters
12,15,3Sum
13,20,Valid Parentheses
14,121,Best Time to Buy and Sell Stock
15,179,Largest Number
16,217,Contains Duplicate
17,347,Top K Frequent Elements
18,2419,Longest Subarray With Maximum Bitwise AND
